Code,subCode,desc,desc_reversed
401,401.01,"Haemorrhage/haematoma, intracranial",intracranial Haemorrhage/haematoma
402,402.01,Subarachnoid haemorrhage/arteriovenous malformation,ubarachnoid haemorrhage/arteriovenous malformation Subarachnoid haemorrhage/arteriovenous malformatio
402,402.02,Subarachnoid haemorrhage/intracranial aneurysm,ubarachnoid haemorrhage/intracranial aneurysm Subarachnoid haemorrhage/intracranial aneurys
403,403.01,"CVA, Cerebrovascular accident/stroke",Cerebrovascular accident/stroke CVA
404,404.01,"Abscess, neurologic",neurologic Abscess
404,404.02,Encephalitis,ncephalitis Encephaliti
404,404.03,Meningitis,eningitis Meningiti
405,405.01,"Neoplasm, neurologic",neurologic Neoplasm
406,406.01,Amyotrophic lateral sclerosis,myotrophic lateral sclerosis Amyotrophic lateral sclerosi
406,406.02,Guillian-Barre syndrome,uillian-Barre syndrome Guillian-Barre syndrom
406,406.03,Myasthenia gravis,yasthenia gravis Myasthenia gravi
406,406.04,"Neuromuscular medical, other",other Neuromuscular medical
407,407.01,Seizures (primary-no structural brain disease),eizures (primary-no structural brain disease) Seizures (primary-no structural brain disease
408,408.01,"Hydrocephalus, obstructive",obstructive Hydrocephalus
408,408.02,"Neurologic medical, other",other Neurologic medical
408,408.03,"Palsy, cranial nerve",cranial nerve Palsy
409,409.01,"Haematoma, epidural",epidural Haematoma
409,409.02,"Haematoma, subdural",subdural Haematoma
410,410.01,"Coma/change in level of consciousness 
(not hepatic, diabetic or CA related)","diabetic or CA related) Coma/change in level of consciousness 
(not hepatic"
501,501.01,"Sepsis, cutaneous/soft tissue",cutaneous/soft tissue Sepsis
501,501.02,"Sepsis, GI",GI Sepsis
501,501.03,"Sepsis, gynaecologic",gynaecologic Sepsis
501,501.04,"Sepsis, other",other Sepsis
501,501.05,"Sepsis, pulmonary",pulmonary Sepsis
501,501.06,"Sepsis, unknown",unknown Sepsis
502,502.01,"Sepsis, renal/UTI (including bladder)",renal/UTI (including bladder) Sepsis
503,503.01,"Sepsis with shock, not urinary tract",not urinary tract Sepsis with shock
504,504.01,"Sepsis with shock, urinary tract",urinary tract Sepsis with shock
601,601.01,Head (CNS) only trauma,ead (CNS) only trauma Head (CNS) only traum
601,601.02,Head/abdomen trauma,ead/abdomen trauma Head/abdomen traum
601,601.03,Head/chest trauma,ead/chest trauma Head/chest traum
601,601.04,Head/extremity trauma,ead/extremity trauma Head/extremity traum
601,601.05,Head/face trauma,ead/face trauma Head/face traum
601,601.06,Head/multiple trauma,ead/multiple trauma Head/multiple traum
601,601.07,Head/pelvis trauma,ead/pelvis trauma Head/pelvis traum
601,601.08,Head/spinal trauma,ead/spinal trauma Head/spinal traum
602,602.01,Abdomen only trauma,bdomen only trauma Abdomen only traum
602,602.02,Abdomen/extremity trauma,bdomen/extremity trauma Abdomen/extremity traum
602,602.03,Abdomen/face trauma,bdomen/face trauma Abdomen/face traum
602,602.04,Abdomen/multiple trauma,bdomen/multiple trauma Abdomen/multiple traum
602,602.05,Abdomen/pelvis trauma,bdomen/pelvis trauma Abdomen/pelvis traum
602,602.06,Chest/abdomen trauma,hest/abdomen trauma Chest/abdomen traum
602,602.07,Chest/extremity trauma,hest/extremity trauma Chest/extremity traum
602,602.08,Chest/face trauma,hest/face trauma Chest/face traum
602,602.09,Chest/multiple trauma,hest/multiple trauma Chest/multiple traum
